points|title|description|taster_name|taster_twitter_handle|price|designation|variety|region_1|region_2|province|country|winery
87|Nicosia 2013 Vulkà Bianco  (Etna)|Aromas include tropical fruit, broom, brimstone and dried herb. The palate isn't overly expressive, offering unripened apple, citrus and dried sage alongside brisk acidity.|Kerin O’Keefe|@kerinokeefe||Vulkà Bianco|White Blend|Etna||Sicily & Sardinia|Italy|Nicosia
87|Quinta dos Avidagos 2011 Avidagos Red (Douro)|This is ripe and fruity, a wine that is smooth while still structured. Firm tannins are filled out with juicy red berry fruits and freshened with acidity. It's  already drinkable, although it will certainly be better from 2016.|Roger Voss|@vossroger|15|Avidagos|Portuguese Red|||Douro|Portugal|Quinta dos Avidagos
87|Rainstorm 2013 Pinot Gris (Willamette Valley)|Tart and snappy, the flavors of lime flesh and rind dominate. Some green pineapple pokes through, with crisp acidity underscoring the flavors. The wine was all stainless-steel fermented.|Paul Gregutt|@paulgwine |14||Pinot Gris|Willamette Valley|Willamette Valley|Oregon|US|Rainstorm
87|St. Julian 2013 Reserve Late Harvest Riesling (Lake Michigan Shore)|Pineapple rind, lemon pith and orange blossom start off the aromas. The palate is a bit more opulent, with notes of honey-drizzled guava and mango giving way to a slightly astringent, semidry finish.|Alexander Peartree||13|Reserve Late Harvest|Riesling|Lake Michigan Shore||Michigan|US|St. Julian
87|Sweet Cheeks 2012 Vintner's Reserve Wild Child Block Pinot Noir (Willamette Valley)|Much like the regular bottling from 2012, this comes across as rather rough and tannic, with rustic, earthy, herbal characteristics. Nonetheless, if you think of it as a pleasantly unfussy country wine, it's a good companion to a hearty winter stew.|Paul Gregutt|@paulgwine |65|Vintner's Reserve Wild Child Block|Pinot Noir|Willamette Valley|Willamette Valley|Oregon|US|Sweet Cheeks
87|Tandem 2011 Ars In Vitro Tempranillo-Merlot (Navarra)|Blackberry and raspberry aromas show a typical Navarran whiff of green herbs and, in this case, horseradish. In the mouth, this is fairly full bodied, with tomatoey acidity. Spicy, herbal flavors complement dark plum fruit, while the finish is fresh but grabby.|Michael Schachner|@wineschach|15|Ars In Vitro|Tempranillo-Merlot|Navarra||Northern Spain|Spain|Tandem
87|Terre di Giurfo 2013 Belsito Frappato (Vittoria)|Here's a bright, informal red that opens with aromas of candied berry, white pepper and savory herb that carry over to the palate. It's balanced with fresh acidity and soft tannins.|Kerin O’Keefe|@kerinokeefe|16|Belsito|Frappato|Vittoria||Sicily & Sardinia|Italy|Terre di Giurfo
87|Trimbach 2012 Gewurztraminer (Alsace)|This dry and restrained wine offers spice in profusion. Balanced with acidity and a firm texture, it's very much for food.|Roger Voss|@vossroger|24||Gewürztraminer|Alsace||Alsace|France|Trimbach
87|Heinz Eifel 2013 Shine Gewürztraminer (Rheinhessen)|Savory dried thyme notes accent sunnier flavors of preserved peach in this brisk, off-dry wine. It's fruity and fresh, with an elegant, sprightly footprint.|Anna Lee C. Iijima||12|Shine|Gewürztraminer|||Rheinhessen|Germany|Heinz Eifel
87|Jean-Baptiste Adam 2012 Les Natures Pinot Gris (Alsace)|This has great depth of flavor with its fresh apple and pear fruits and touch of spice. It's off dry while balanced with acidity and a crisp texture. Drink now.|Roger Voss|@vossroger|27|Les Natures|Pinot Gris|Alsace||Alsace|France|Jean-Baptiste Adam
